avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,active,phone_Android,phone_iPhone,city_Astapor,city_King's Landing,city_Winterfell,rating_stated
6.94,5.0,5.0,1.0,0.0,0,False,100.0,False,1,0,1,0,0,True
8.06,5.0,5.0,1.0,0.0,2,True,0.0,False,1,0,1,0,0,True
21.5,4.0,4.601696940726505,1.0,0.0,1,True,100.0,False,0,1,0,0,1,False
9.46,5.0,4.601696940726505,2.75,100.0,1,False,100.0,False,1,0,0,0,1,False
13.77,5.0,4.601696940726505,1.0,0.0,0,False,100.0,False,0,1,0,0,1,False
14.51,5.0,4.601696940726505,1.0,0.0,0,True,100.0,False,0,1,1,0,0,False
4.87,4.7,4.0,1.0,0.0,0,False,66.7,False,1,0,1,0,0,True
1.78,4.0,5.0,1.0,0.0,3,False,0.0,False,0,1,0,0,1,True
6.87,5.0,4.7,1.0,0.0,3,False,66.7,False,1,0,1,0,0,True
2.41,5.0,3.0,1.0,0.0,1,False,100.0,False,0,1,0,0,1,True
3.96,5.0,4.601696940726505,2.0,100.0,1,False,0.0,False,0,1,0,0,1,False
17.04,5.0,4.601696940726505,1.0,0.0,0,True,100.0,False,1,0,0,0,1,False
5.42,4.7,5.0,1.0,0.0,2,True,33.3,True,0,1,1,0,0,True
5.02,5.0,5.0,1.0,0.0,1,False,0.0,False,1,0,1,0,0,True
4.28,5.0,4.0,1.15,20.0,2,False,40.0,True,1,0,0,0,1,True
3.4,5.0,5.0,1.0,0.0,1,True,100.0,False,1,0,1,0,0,True
6.74,4.8,3.7,1.02,9.1,2,False,54.5,False,0,1,0,0,1,True
7.27,4.8,4.0,1.0,0.0,1,False,75.0,False,0,1,0,0,1,True
2.72,4.7,4.5,1.0,0.0,1,False,33.3,False,0,1,1,0,0,True
5.94,5.0,5.0,1.0,0.0,1,True,100.0,False,0,1,1,0,0,True
17.34,5.0,5.0,1.0,0.0,1,True,100.0,False,1,0,0,0,1,True
3.31,4.8,3.7,1.02,2.6,9,False,47.4,False,0,1,0,1,0,True
2.69,4.3,5.0,1.0,0.0,0,False,0.0,False,0,1,0,0,1,True
6.0,5.0,4.601696940726505,1.0,0.0,1,False,100.0,False,0,1,0,0,1,False
4.96,5.0,5.0,1.0,0.0,1,False,100.0,False,0,1,0,0,1,True
11.44,4.6,4.7,1.0,0.0,6,True,31.4,True,0,1,1,0,0,True
0.05,5.0,5.0,1.0,0.0,1,False,0.0,False,1,0,0,0,1,True
3.7,4.6,5.0,1.0,0.0,2,False,40.0,False,0,1,0,0,1,True
3.89,5.0,4.0,1.0,0.0,0,False,0.0,False,0,1,1,0,0,True
4.7,4.8,3.3,1.0,0.0,4,False,25.0,False,1,0,1,0,0,True
2.49,4.9,4.7,1.11,14.3,2,True,78.6,True,1,0,0,1,0,True
1.45,4.8,3.6,1.2,28.6,2,True,57.1,True,0,1,1,0,0,True
25.18,5.0,4.601696940726505,1.0,0.0,0,False,50.0,False,0,1,1,0,0,False
1.84,4.9,4.0,1.03,11.1,4,True,33.3,True,0,1,0,0,1,True
2.89,5.0,5.0,1.0,0.0,0,False,0.0,True,1,0,1,0,0,True
5.55,5.0,5.0,1.0,0.0,2,True,50.0,False,0,1,1,0,0,True
10.58,5.0,4.3,1.03,11.1,2,False,88.9,True,0,1,1,0,0,True
7.78,4.6,4.601696940726505,1.14,28.6,1,False,57.1,True,1,0,0,0,1,False
4.01,4.4,5.0,1.0,0.0,2,True,63.6,True,0,1,0,0,1,True
2.81,4.8,4.6,1.07,11.1,5,False,59.3,True,0,1,0,0,1,True
2.87,5.0,5.0,1.0,0.0,0,False,50.0,True,0,1,0,0,1,True
3.4,5.0,5.0,1.13,37.5,4,False,87.5,False,0,1,1,0,0,True
0.43,3.0,4.0,1.0,0.0,1,False,100.0,False,1,0,0,0,1,True
0.87,5.0,4.0,1.0,0.0,1,False,100.0,False,1,0,1,0,0,True
3.92,4.4,4.0,2.0,60.0,0,False,0.0,True,0,1,0,0,1,True
6.86,5.0,5.0,1.25,50.0,0,False,0.0,False,1,0,0,0,1,True
11.03,5.0,5.0,1.0,0.0,3,False,100.0,False,0,1,1,0,0,True
0.85,5.0,5.0,3.0,100.0,0,False,100.0,False,0,1,0,0,1,True
1.43,4.5,3.8,1.0,0.0,3,True,52.4,True,0,1,0,1,0,True
2.35,5.0,4.0,1.0,0.0,0,True,0.0,False,0,1,1,0,0,True
5.6,4.8,4.1,1.09,18.2,4,True,57.6,True,0,1,0,1,0,True
1.44,5.0,5.0,1.0,0.0,1,True,0.0,False,0,1,0,0,1,True
4.41,5.0,4.601696940726505,1.0,0.0,0,False,0.0,True,0,1,0,0,1,False
3.11,4.7,4.5,1.19,29.4,0,False,76.5,True,0,1,0,0,1,True
2.23,4.5,4.0,1.0,0.0,0,False,0.0,False,0,1,0,0,1,True
1.95,5.0,5.0,1.0,0.0,2,True,0.0,False,0,1,1,0,0,True
24.17,5.0,4.601696940726505,1.0,0.0,0,True,100.0,False,1,0,0,0,1,False
9.91,4.0,5.0,1.06,25.0,0,True,100.0,True,0,1,0,0,1,True
12.37,4.0,1.0,1.0,0.0,0,False,50.0,False,0,1,0,0,1,True
1.97,5.0,4.0,1.0,0.0,2,False,80.0,False,0,1,1,0,0,True
11.62,4.0,4.0,1.0,0.0,0,False,100.0,False,0,1,0,0,1,True
